Gender,Age,Height,Weight,Pelvic_dia,Chest_depth,Chest_dia,Elbow_dia,Wrist_dia,Knee_dia,Ankle_dia,Shoulder_girth,Chest_girth,Waist_girth,Abdominal_girth,Hip_girth,Thigh_girth,Bicep_girth,Forearm_girth,Knee_girth,Calf_girth,Ankle_girth,Wrist_girth,average_deviation_weight,Height (inches),abdominal_girth_inches,thigh girth (in),waist girth (inches),weight (lbs),ankle girth (inches),wrist girth (inches),knee dia (in),ankle dia (in),shoulder girth (inches),wrist diameter in inches,chest diameter (inches),chest depth (inches),hip girth in inches,hip-to-waist ratio
male,23,180,76.6,29,20.1,30.3,13.4,10.4,19.4,14.5,117.1,97.7,81.9,81,98.4,60.5,34.6,27.9,38.9,40.1,23.2,16.2,11.0339,70.2,31.889781000000003,23.7807955,32.24411190000001,168.87389199999998,9.1338632,6.3779562,7.6377994,5.7086645,46.1023871,4.09448818896,11.9291403,7.913390100000001,38.740178400000005,1.2014652014652014
male,22,177.8,83.6,29,20.5,29.7,15,11.7,20.9,16,123.5,99.5,82.6,82.5,95,58.5,38.5,30.4,39,38.4,24.3,18.2,11.0339,69.34200000000001,32.4803325,22.994653500000002,32.5197026,184.30623199999997,9.566934300000002,7.1653582,8.2283509,6.299216,48.622073500000006,4.60629921258,11.692919700000001,8.0708705,37.401595,1.1501210653753027
male,20,192,90,29.6,20.8,31.4,16.1,11.3,21.5,15.4,116.5,103,85,94.5,103,59,33.5,29,40.5,40,26,18,11.0339,74.88,37.204744500000004,23.191189,33.464585,198.4158,10.236226,7.0866180000000005,8.4645715,6.0629954,45.866166500000006,4.44881889762,12.3622114,8.188980800000001,40.551203,1.2117647058823529
male,26,176,74.6,27.5,21.7,28,13.3,10.3,18.8,13.2,113,99.6,85.6,89.2,98,59.1,35.6,29,35.8,36,21.5,16.6,11.0339,68.64,35.118129200000006,23.2304961,33.7008056,164.46465199999997,8.4645715,6.535436600000001,7.401578800000001,5.1968532,44.488213,4.05511811022,11.023628,8.5433117,38.582698,1.1448598130841123
male,23,174,71,26.8,21.9,28.6,14.9,10.6,17.8,14,107.5,101.5,78,89.5,95,57,36,29,34.5,35,22,16.5,11.0339,67.86,35.2362395,22.405047,30.708678000000003,156.52802,8.661422,6.4960665,7.007877800000001,5.511814,42.322857500000005,4.173228346439999,11.259848600000002,8.6220519,37.401595,1.2179487179487178
male,22,184,79.6,27,21.7,30.6,13.7,11.1,20.7,14,112,104.1,82,84,97,56,34.5,29.5,39,35.7,24,17.5,11.0339,71.76,33.070884,22.011976,32.283482,175.48775199999997,9.448824,6.8897675000000005,8.1496107,5.511814,44.094512,4.370078740139999,12.047250600000002,8.5433117,38.188997,1.1829268292682926
male,30,192.7,93.8,30,21,29.4,15.6,11.9,21.2,16,112.2,100,88.3,93.5,105,65.8,37,28.8,40.9,41.7,24.2,17.8,11.0339,75.15299999999999,36.811043500000004,25.864071799999998,34.7637983,206.793356,9.5275642,7.007877800000001,8.3464612,6.299216,44.1732522,4.68503937006,11.5748094,8.267721,41.338605,1.189127972819932
male,22,171.5,70,26.5,19.3,30,14.8,11.2,19.7,14.7,120,93.8,73.6,74.9,90.1,54.1,31.2,26.9,36.4,35.6,22,17.1,11.0339,66.885,29.488204900000003,21.2651411,28.976393599999998,154.3234,8.661422,6.732287100000001,7.7559097,5.7874047,47.24412,4.40944881888,11.81103,7.598429300000001,35.4724601,1.2241847826086956
male,29,173,72.4,28.6,22.2,29.5,14.9,12.2,20.8,14.8,109,98.5,78.5,86,94.5,55,34.5,28.5,38,36.5,23,18.5,11.0339,67.47,33.858286,21.618905,30.905528500000003,159.614488,9.055123,7.283468500000001,8.188980800000001,5.826774800000001,42.913409,4.803149606279999,11.6141795,8.7401622,37.204744500000004,1.2038216560509554
male,22,176,85.9,29.3,20.2,32.6,15.4,10.9,20.7,15.5,118.5,104,87.3,88,101.1,59.5,37,30.5,39.8,42,26.5,18.8,11.0339,68.64,34.645688,23.3877245,34.3700973,189.376858,10.4330765,7.401578800000001,8.1496107,6.1023655,46.653568500000006,4.29133858266,12.834652600000002,7.9527602,39.8031711,1.1580756013745703
male,22,176,78.8,27.5,21.3,32,13.1,11.1,19.2,13.9,116,100,92,91,98,57.5,32,27.6,37.5,35.2,21,17.3,11.0339,68.64,35.826791,22.6015825,36.220492,173.724056,8.267721,6.811027300000001,7.5590592,5.4724439,45.669316,4.370078740139999,12.598432,8.385831300000001,38.582698,1.065217391304348
male,20,180.5,77.8,28,20,32,15,11.5,20.4,14.4,111,100,80,83.7,99.5,57,37,30,37.5,35.5,23,18,11.0339,70.395,32.9527737,22.405047,31.496080000000003,171.51943599999998,9.055123,7.0866180000000005,8.0315004,5.6692944,43.700811,4.527559055099999,12.598432,7.874020000000001,39.173249500000004,1.24375
male,22,172.7,66.2,26.4,18,30.9,14.6,10.8,18.6,13.8,117.7,99,74.5,75.9,92.2,53.4,31.2,26.9,36.2,33.3,23.5,16,11.0339,67.353,29.881905900000003,20.9899914,29.330724500000002,145.945844,9.2519735,6.299216,7.322838600000001,5.433073800000001,46.338607700000004,4.25196850392,12.1653609,7.0866180000000005,36.299232200000006,1.2375838926174496
male,24,176,86.4,29.9,21.8,32.8,14.3,11.2,19.8,14.1,123.9,101,90.6,89.6,101.2,59.5,37,28.3,35.4,40.6,22.9,17,11.0339,68.64,35.2756096,23.3877245,35.6693106,190.479168,9.0157529,6.6929170000000004,7.7952798,5.5511841,48.7795539,4.40944881888,12.9133928,8.582681800000001,39.84254120000001,1.1169977924944814
male,26,173.5,81.8,27.8,18.3,31.5,15.2,11.6,19.4,14.7,120.6,101.6,81.4,81.6,98.8,61.3,39.4,31.9,38.5,41.2,22.8,18.2,11.0339,67.665,32.1260016,24.0952523,32.047261400000004,180.33791599999998,8.976382800000001,7.1653582,7.6377994,5.7874047,47.4803406,4.5669291338399995,12.4015815,7.204728300000001,38.8976588,1.2137592137592137
male,24,178,89.6,30.1,20.2,31.1,16.4,13.3,22.2,14.9,129.5,108.8,89.5,89.5,106,59.5,37.5,30.1,39.9,41.5,23.5,19,11.0339,69.42,35.2362395,23.3877245,35.2362395,197.53395199999997,9.2519735,7.480319000000001,8.7401622,5.8661449,50.9842795,5.23622047242,12.244101100000002,7.9527602,41.732306,1.1843575418994414
male,21,180.3,82.8,31.8,20.2,32.3,14.6,10.5,20.2,15.3,115,100,85,94.5,105,62,35.5,28.5,38,40,23.5,16.7,11.0339,70.31700000000001,37.204744500000004,24.370402,33.464585,182.54253599999998,9.2519735,6.5748067,7.9527602,6.023625300000001,45.275615,4.1338582677,12.7165423,7.9527602,41.338605,1.2352941176470589
male,24,180.3,76.4,28.3,19.2,28.8,14.6,11.1,20.8,14.5,116,88,73.5,77.7,97,56.3,32.5,27.8,39,38.2,23.5,17.8,11.0339,70.31700000000001,30.590567700000005,22.1298973,28.937023500000002,168.432968,9.2519735,7.007877800000001,8.188980800000001,5.7086645,45.669316,4.370078740139999,11.3385888,7.5590592,38.188997,1.3197278911564625
male,23,164.5,63.2,25.5,17.6,27.7,13,10.2,18.9,13.2,107.8,88.7,75.8,83,89,52.6,31.2,26.5,37,37.4,21.5,16.5,11.0339,64.155,32.677183,20.675534600000002,29.8425358,139.331984,8.4645715,6.4960665,7.4409488999999995,5.1968532,42.4409678,4.015748031479999,10.9055177,6.929137600000001,35.039389,1.1741424802110818
male,19,173,60.9,27.2,18.1,26.5,13.3,10.1,18.6,13.2,100.2,84.5,74,81,93.5,50.5,27.5,24.8,34,32.8,21,15.6,11.0339,67.47,31.889781000000003,19.8500855,29.133874000000002,134.26135799999997,8.267721,6.1417356000000005,7.322838600000001,5.1968532,39.44884020000001,3.9763779527399996,10.4330765,7.125988100000001,36.811043500000004,1.2635135135135136
male,23,183.5,74.8,30.3,19.4,30,14.9,11,19.1,15.8,113,93.6,77.5,82.1,95,56.5,32.8,26.2,37.6,36.3,21,16.6,11.0339,71.565,32.3228521,22.2085115,30.511827500000003,164.90557599999997,8.267721,6.535436600000001,7.519689100000001,6.220475800000001,44.488213,4.3307086614,11.81103,7.6377994,37.401595,1.2258064516129032
male,25,175.5,70,23.6,22.9,28,14.3,11.2,18.2,14,117.9,105,74,72,90,54.2,34.1,28.6,36.2,36.6,22.4,17.2,11.0339,68.44500000000001,28.346472000000002,21.304448200000003,29.133874000000002,154.3234,8.8189024,6.7716572,7.1653582,5.511814,46.4173479,4.40944881888,11.023628,9.0157529,35.43309,1.2162162162162162
male,23,188,72.4,31,19.2,31,15.2,11.4,21.2,15.1,112.5,90.9,74,78.8,96.4,51.8,29.8,27,36.4,34.6,22.9,17,11.0339,73.32000000000001,31.0236388,20.3610778,29.133874000000002,159.614488,9.0157529,6.6929170000000004,8.3464612,5.9448851000000005,44.291362500000005,4.48818897636,12.204731,7.5590592,37.952776400000005,1.3027027027027027
male,23,189.2,84.1,32,23.6,27,15.5,11.3,20.9,15,110.5,91.2,82,89.5,100,57.5,32.8,28,40.7,40.1,24.3,17.2,11.0339,73.788,35.2362395,22.6015825,32.283482,185.40854199999998,9.566934300000002,6.7716572,8.2283509,5.905515,43.503960500000005,4.44881889762,10.629927,9.291343600000001,39.3701,1.2195121951219512
male,23,172.8,69.1,25.1,20.8,27.9,13.6,10.8,18.8,12.9,112,98.4,73,83,95.4,56.3,36.4,27.5,37.2,34.5,21.8,16.9,11.0339,67.39200000000001,32.677183,22.1298973,28.740173000000002,152.33924199999998,8.582681800000001,6.6535469,7.401578800000001,5.078742900000001,44.094512,4.25196850392,10.9842579,8.188980800000001,37.559075400000005,1.3068493150684932
male,20,170,59.5,24.5,17.7,26.7,13.3,10.8,18.6,14,104,85,70.5,84,90,50,29,26,36,34.5,21.5,17,11.0339,66.3,33.070884,19.65355,27.755920500000002,131.17488999999998,8.4645715,6.6929170000000004,7.322838600000001,5.511814,40.944904,4.25196850392,10.5118167,6.9685077,35.43309,1.2765957446808511
male,22,182,67.2,27.8,19,31.5,14.5,11.9,18.5,13,114.8,97.2,75,77.2,91.3,49.5,31,26.1,36.3,35.1,21,17,11.0339,70.98,30.393717200000005,19.4570145,29.527575000000002,148.150464,8.267721,6.6929170000000004,7.283468500000001,5.118113,45.1968748,4.68503937006,12.4015815,7.480319000000001,35.9449013,1.2173333333333334
male,24,170,61.3,27.2,18.5,25.5,13.4,10.8,19,14,108,91.5,72.1,79.2,91,54.9,29.5,24.5,36.1,37.2,22.9,16,11.0339,66.3,31.1811192,21.5795979,28.385842099999998,135.143206,9.0157529,6.299216,7.480319000000001,5.511814,42.519708,4.25196850392,10.0393755,7.283468500000001,35.826791,1.2621359223300972
male,22,177.8,68.6,27.5,18.7,28,13.6,10.8,19,15.4,111.2,91.2,78.8,78,93.2,55.8,31.9,27.4,36.4,35.1,23,16.8,11.0339,69.34200000000001,30.708678000000003,21.9333618,31.0236388,151.23693199999997,9.055123,6.614176800000001,7.480319000000001,6.0629954,43.7795512,4.25196850392,11.023628,7.3622087,36.692933200000006,1.1827411167512691
male,24,184.2,80.1,27.5,18.2,28,16.2,12,21,16.4,118.3,101.1,77.5,78,97,55,37.7,29.9,38.3,39.6,23.3,18.7,11.0339,71.838,30.708678000000003,21.618905,30.511827500000003,176.59006199999996,9.173233300000001,7.3622087,8.267721,6.4566964,46.5748283,4.7244094487999995,11.023628,7.1653582,38.188997,1.2516129032258065
male,21,186.7,87.8,29.4,23.7,31.5,14.6,11.3,19.8,15.2,115.2,104.3,91.5,93.2,103.9,62,36.3,29,36.7,39.4,23.1,17.6,11.0339,72.813,36.692933200000006,24.370402,36.023641500000004,193.56563599999998,9.094493100000001,6.929137600000001,7.7952798,5.9842552,45.3543552,4.44881889762,12.4015815,9.3307137,40.9055339,1.1355191256830601
male,23,171.4,84.7,27.1,21.6,28,14.1,11.5,19.7,13.8,129.9,110.8,84.9,83,102.6,66.4,42.3,30.9,37,37.7,22.6,17.5,11.0339,66.846,32.677183,26.099914400000003,33.42521490000001,186.731314,8.897642600000001,6.8897675000000005,7.7559097,5.433073800000001,51.141759900000004,4.527559055099999,11.023628,8.503941600000001,40.3937226,1.2084805653710247
male,24,172.7,73.4,27.1,18.5,27.3,14.6,10.8,19.5,14.9,112.9,96.3,79.1,78.3,97.1,60.1,35.5,28.8,36.9,38.2,23.4,16.7,11.0339,67.353,30.8267883,23.623567100000002,31.1417491,161.819108,9.2126034,6.5748067,7.677169500000001,5.8661449,44.4488429,4.25196850392,10.748037300000002,7.283468500000001,38.2283671,1.2275600505689002
male,35,175.3,72.1,26.1,19.4,29.9,14.3,11.2,20,16,112.2,102.7,77.9,77.9,90.7,56.7,35.4,28.3,35.6,35.5,22.9,17,11.0339,68.367,30.669307900000003,22.2871257,30.669307900000003,158.95310199999997,9.0157529,6.6929170000000004,7.874020000000001,6.299216,44.1732522,4.40944881888,11.7716599,7.6377994,35.7086807,1.164313222079589
male,29,180.3,82.6,30.8,19.4,30.6,14.8,11.3,20.2,16,117.1,103.9,91.7,89.4,101.8,61,35.7,29.4,37.7,40,22.2,17.9,11.0339,70.31700000000001,35.196869400000004,23.977331,36.1023817,182.10161199999996,8.7401622,7.0472478999999995,7.9527602,6.299216,46.1023871,4.44881889762,12.047250600000002,7.6377994,40.0787618,1.1101417666303162
male,25,182.9,88.7,27.8,20.6,30.2,15.9,12.8,22.4,16.3,118.7,105.6,86.6,87.3,103.9,63.2,37.8,29.7,39,40.2,24.3,18.9,11.0339,71.331,34.3700973,24.8420872,34.0945066,195.549794,9.566934300000002,7.4409488999999995,8.8189024,6.417326300000001,46.732308700000004,5.03937007872,11.889770200000001,8.110240600000001,40.9055339,1.1997690531177831
male,23,188,84.1,26.1,20.4,27.3,15.1,10.6,20,15.3,109.2,95.8,84.7,84,101.4,60,35,28.5,38.4,37.9,23.2,16.8,11.0339,73.32000000000001,33.070884,23.58426,33.3464747,185.40854199999998,9.1338632,6.614176800000001,7.874020000000001,6.023625300000001,42.99214920000001,4.173228346439999,10.748037300000002,8.0315004,39.921281400000005,1.1971664698937428
male,20,177.2,94.1,33.1,21.6,33.1,15.6,12,20.7,16.5,128.1,111.2,90.3,93.5,108.7,66.9,40.2,32.4,39.2,40.1,25.7,17.7,11.0339,69.108,36.811043500000004,26.296449900000002,35.5512003,207.45474199999998,10.1181157,6.9685077,8.1496107,6.4960665,50.4330981,4.7244094487999995,13.031503100000002,8.503941600000001,42.795298700000004,1.203765227021041
male,25,172.1,74.9,24.9,19.7,26.8,14.2,10.2,18,14.4,113.3,100,79.7,87.1,98.4,61.1,36.3,28.6,34.5,36.1,21.4,16.3,11.0339,67.119,34.2913571,24.0166381,31.3779697,165.126038,8.4252014,6.417326300000001,7.0866180000000005,5.6692944,44.6063233,4.015748031479999,10.551186800000002,7.7559097,38.740178400000005,1.234629861982434
male,29,167,59.1,24.4,18,26.4,14.2,10.6,17.3,13.4,108.4,91.6,73.1,75.4,86.5,50.6,30.8,26.1,31.7,33.6,20.3,15.8,11.0339,65.13,29.685055400000003,19.8893926,28.779543099999998,130.29304199999999,7.9921303,6.220475800000001,6.811027300000001,5.275593400000001,42.677188400000006,4.173228346439999,10.3937064,7.0866180000000005,34.0551365,1.183310533515732
male,23,169.5,75.6,28.3,20.2,28.7,15,11.5,18.4,14.4,118.7,108,79.8,82.5,94.8,58.3,39.8,29.6,34.2,38.1,21.1,16.9,11.0339,66.105,32.4803325,22.916039299999998,31.4173398,166.66927199999998,8.307091100000001,6.6535469,7.2440983999999995,5.6692944,46.732308700000004,4.527559055099999,11.2992187,7.9527602,37.3228548,1.1879699248120301
male,23,174,86.2,26.1,20.6,30.8,15.1,11.4,19.8,14.2,126.3,109.6,81.6,86.5,100.9,61.7,39.5,31.7,38.8,36.5,22.7,17.9,11.0339,67.86,34.0551365,24.252480700000003,32.1260016,190.038244,8.9370127,7.0472478999999995,7.7952798,5.5905542,49.7244363,4.48818897636,12.1259908,8.110240600000001,39.7244309,1.2365196078431373
male,36,172.7,75.3,27.8,19.2,31.3,15.4,11.5,20.6,15.4,124.2,105.7,76.8,83.4,98,56.8,37.9,30.9,35.9,38.3,23.4,17.3,11.0339,67.353,32.834663400000004,22.3264328,30.2362368,166.00788599999998,9.2126034,6.811027300000001,8.110240600000001,6.0629954,48.8976642,4.527559055099999,12.3228413,7.5590592,38.582698,1.2760416666666667
male,25,182.2,87.1,28,20.9,31.7,14.8,10.6,19.4,15,126.7,109.1,85.9,90.4,100.9,61.3,40.1,30,36.8,38.6,21.9,16.4,11.0339,71.05799999999999,35.590570400000004,24.0952523,33.81891590000001,192.02240199999997,8.6220519,6.4566964,7.6377994,5.905515,49.881916700000005,4.173228346439999,12.480321700000001,8.2283509,39.7244309,1.1746216530849825
male,24,164.1,55.2,26.6,17.3,25.6,12.8,10,17,13,103.3,88.8,73.3,77.9,85.7,46.9,30.5,24.8,31.1,30.5,19,15,11.0339,63.999,30.669307900000003,18.4350299,28.8582833,121.69502399999999,7.480319000000001,5.905515,6.6929170000000004,5.118113,40.6693133,3.937007874,10.078745600000001,6.811027300000001,33.7401757,1.169167803547067
male,20,163,57,25.2,17,26.4,13.2,10.4,18.8,13,101.2,86.1,69.9,67.4,84.1,50.8,31.5,26.6,32.8,36.3,20,15.8,11.0339,63.57,26.535447400000002,19.968006799999998,27.519699900000003,125.66333999999999,7.874020000000001,6.220475800000001,7.401578800000001,5.118113,39.84254120000001,4.09448818896,10.3937064,6.6929170000000004,33.1102541,1.2031473533619454
male,52,171.5,61.4,28.6,19.1,27.1,13.4,10,18.2,14.8,104.3,91.3,72.7,83.2,91.4,51.2,27.8,26,34.8,34.7,21.1,15.3,11.0339,66.885,32.755923200000005,20.125235200000002,28.622062700000004,135.363668,8.307091100000001,6.023625300000001,7.1653582,5.826774800000001,41.0630143,3.937007874,10.669297100000001,7.519689100000001,35.984271400000004,1.2572214580467675
male,50,184.2,76.8,29,22.5,30.4,15.6,12,19.8,16.2,113.2,100.6,82.7,83.5,98,55.8,33.1,28,37.9,39.1,23.2,17.7,11.0339,71.838,32.8740335,21.9333618,32.5590727,169.31481599999998,9.1338632,6.9685077,7.7952798,6.3779562,44.5669532,4.7244094487999995,11.9685104,8.8582725,38.582698,1.185006045949214
male,46,174,86.8,30.4,23.2,32.6,15.5,11.6,21.5,15.4,121.9,105.5,90.1,89.2,104.5,62.7,36.3,29.6,38.4,42.4,25.3,17.5,11.0339,67.86,35.118129200000006,24.645551700000002,35.4724601,191.36101599999998,9.960635300000002,6.8897675000000005,8.4645715,6.0629954,47.9921519,4.5669291338399995,12.834652600000002,9.1338632,41.141754500000005,1.1598224195338513
male,51,174,72.2,29.3,19.6,29.8,13.8,11.7,19.7,14.4,113.1,97.5,82.9,83.6,95.8,52.6,34.5,27,35.2,35.2,21.4,16.5,11.0339,67.86,32.9134036,20.675534600000002,32.63781290000001,159.173564,8.4252014,6.4960665,7.7559097,5.6692944,44.5275831,4.60629921258,11.7322898,7.716539600000001,37.7165558,1.1556091676718938
male,28,177,71.6,28.6,20.8,26.9,14.8,11.2,20.7,16.5,108.5,94.4,77.9,79,91.7,57.1,31.2,27.5,36.6,37.5,21.6,16.1,11.0339,69.03,31.102379000000003,22.4443541,30.669307900000003,157.85079199999998,8.503941600000001,6.338586100000001,8.1496107,6.4960665,42.716558500000005,4.40944881888,10.5905569,8.188980800000001,36.1023817,1.177150192554557
male,48,186,84.8,32.4,20.3,32.1,15.6,12,20.8,16.3,113.9,99.6,92.5,96.2,103.4,58.5,34.5,28.4,38.4,38,22.4,17.2,11.0339,72.54,37.874036200000006,22.994653500000002,36.417342500000004,186.95177599999997,8.8189024,6.7716572,8.188980800000001,6.417326300000001,44.8425439,4.7244094487999995,12.637802100000002,7.9921303,40.708683400000005,1.117837837837838
male,35,167,68.2,26,19.1,30.9,14.3,11.4,19.5,14.6,112.6,98.1,77.8,77.2,90,52.4,33.2,26.4,34.2,36,21.8,17.5,11.0339,65.13,30.393717200000005,20.5969204,30.6299378,150.355084,8.582681800000001,6.8897675000000005,7.677169500000001,5.7480346,44.3307326,4.48818897636,12.1653609,7.519689100000001,35.43309,1.1568123393316196
male,23,171.8,66.1,27.1,17.5,27.6,14.1,10.8,20.2,15.5,110.2,93.6,72.7,77.3,91.7,51.9,32.1,27.4,33.5,33.8,21.1,16.9,11.0339,67.00200000000001,30.4330873,20.4003849,28.622062700000004,145.72538199999997,8.307091100000001,6.6535469,7.9527602,6.1023655,43.3858502,4.25196850392,10.866147600000001,6.8897675000000005,36.1023817,1.2613480055020632
male,23,182,72,29.5,18.4,26.2,14,11,19.4,14.8,108.7,93.4,75,79.2,94,53.8,34.2,27.9,36.1,36.2,22,17.5,11.0339,70.98,31.1811192,21.1472198,29.527575000000002,158.73263999999998,8.661422,6.8897675000000005,7.6377994,5.826774800000001,42.795298700000004,4.3307086614,10.3149662,7.2440983999999995,37.007894,1.2533333333333334
male,62,167,64.6,29.2,20,29,14.1,11.7,20.4,14.3,104,92,76,83,93,54.5,29.5,26,37,34.5,22.8,17.4,11.0339,65.13,32.677183,21.4223695,29.921276000000002,142.41845199999997,8.976382800000001,6.850397399999999,8.0315004,5.629924300000001,40.944904,4.60629921258,11.417329,7.874020000000001,36.614193,1.2236842105263157
male,21,177.8,74.8,28.3,18.3,31.4,13.5,11.4,18.9,14.4,115.2,99.2,82.7,84.2,93,56.6,32.4,27.6,35.8,36.3,21.8,16.7,11.0339,69.34200000000001,33.149624200000005,22.247818600000002,32.5590727,164.90557599999997,8.582681800000001,6.5748067,7.4409488999999995,5.6692944,45.3543552,4.48818897636,12.3622114,7.204728300000001,36.614193,1.1245465538089479
male,26,164.5,70,28.8,19.7,28.7,12.4,10.7,18.5,13.2,111.9,97.6,80,85.7,97.4,57.8,33.8,28.6,36.2,37.4,22,17.2,11.0339,64.155,33.7401757,22.7195038,31.496080000000003,154.3234,8.661422,6.7716572,7.283468500000001,5.1968532,44.0551419,4.2125984251799995,11.2992187,7.7559097,38.346477400000005,1.2175
male,33,192,101.6,33.2,23.9,34.3,15.8,12,18.6,13.2,127,108.8,107.1,107.2,108.3,67,39.6,30.6,40,39.6,24.6,17.7,11.0339,74.88,42.20474720000001,26.335757,42.1653771,223.98939199999998,9.685044600000001,6.9685077,7.322838600000001,5.1968532,50.000027,4.7244094487999995,13.503944299999999,9.4094539,42.6378183,1.011204481792717
male,36,175.5,63.2,26.6,19.5,28,13.1,10.4,19,13.8,111.2,91.9,76.2,78.1,90,52,30.7,25.8,34.8,32.6,21,16.1,11.0339,68.44500000000001,30.7480481,20.439692,30.000016200000005,139.331984,8.267721,6.338586100000001,7.480319000000001,5.433073800000001,43.7795512,4.09448818896,11.023628,7.677169500000001,35.43309,1.1811023622047243
male,41,171.2,79.1,28.4,22.5,29.7,14.9,10.9,21,14.8,122,105.2,90.2,88.6,100.2,60.8,35.7,29.4,39.2,39.1,24.5,17.9,11.0339,66.768,34.8819086,23.8987168,35.511830200000006,174.38544199999998,9.6456745,7.0472478999999995,8.267721,5.826774800000001,48.031522,4.29133858266,11.692919700000001,8.8582725,39.44884020000001,1.1108647450110865
male,40,181.6,78.9,28.5,21.6,31.5,13.3,10.3,18.9,14.3,114.5,98.3,89.4,87.4,97.7,54.8,31,26,36.4,35.6,21.6,16.6,11.0339,70.824,34.409467400000004,21.540290799999998,35.196869400000004,173.944518,8.503941600000001,6.535436600000001,7.4409488999999995,5.629924300000001,45.078764500000005,4.05511811022,12.4015815,8.503941600000001,38.4645877,1.092841163310962
